# MaNGA_plate MaNGA_IFU NSAID ra dec redshift ba phi Mstar rabsmag plate MJD fiberID index imc aimc smoothness_score logHI WF50 WP20 galID FHI Total_Ha_flux
8322 12704 674313 199.051371303 30.9502990173 0.0186529 0.653585 178.333 23288800000.0 -20.9593 0 0 0 -1 -1.0 -1.0 0.32048813087352807 9.949999809265137 461.1198527290839 218.0079532959852 8322-12704 8.470000267028809 nan
8322 12701 673998 198.24297 31.25866 0.0202607 0.750934 96.6082 2816470000.0 -19.2627 0 0 0 -1 -1.0 -1.0 0.9005749430877483 9.75 308.9143310361828 363.4286247484503 8322-12701 2.940000057220459 nan
8313 9101 262555 239.697545939 41.9380974666 0.0387147 0.785794 123.923 28710000000.0 -21.2311 1334 52764 32 1189780 2.0 33.36 0.47367359782281915 9.789999961853027 546.4937567192586 683.9256186161135 8313-9101 0.8999999761581421 nan
8313 12705 262818 242.682530759 41.1485576864 0.0315371 0.566323 168.786 42344200000.0 -21.2005 1335 52824 35 1194202 2.0 17.64 0.5221826935647054 10.079999923706055 714.646773329416 744.9798282245525 8313-12705 2.6500000953674316 nan
8313 12703 262951 240.365851242 42.3881865027 0.0355431 0.76521 177.36 17670200000.0 -20.6325 1335 52824 365 999641 2.0 32.56 0.7283731949139608 10.260000228881836 365.0311064463234 593.3697134574279 8313-12703 3.140000104904175 nan
8313 12702 262995 240.67741912 41.1972609837 0.0333433 0.66496 20.8547 16185900000.0 -21.0097 1335 52824 475 997514 2.0 56.54 0.38628465457450123 10.289999961853027 289.20348299817675 615.896306385006 8313-12702 3.819999933242798 nan
8313 12704 604890 240.960024301 41.5218602856 0.0340357 0.613643 131.88 39805800000.0 -21.1318 6052 56092 752 -1 -1.0 -1.0 0.7772242844428119 9.779999732971191 -1265.2238398338009 690.2372299393609 8313-12704 1.1200000047683716 nan
8313 12701 262552 239.4918 41.792591 0.0354683 0.685282 125.58 18929800000.0 -20.8772 1334 52764 28 -1 -1.0 -1.0 0.4357657395727979 10.039999961853027 203.21915112923915 520.4057991755516 8313-12701 1.9600000381469727 nan
8313 1901 262955 240.287125377 41.8807489359 0.0242508 0.696865 62.8429 997953000.0 -18.862 1335 52824 378 998571 2.0 157.03 0.7441473296194365 9.3100004196167 -1392.9123878921332 296.98732594697134 8313-1901 0.7799999713897705 nan
8313 6103 262551 239.436637925 41.7095243117 0.0238109 0.982835 71.562 4899480000.0 -19.4486 1334 52764 26 1187658 2.0 59.15 0.9269736483017844 9.350000381469727 287.2834962945813 422.7945794524027 8313-6103 0.8799999952316284 nan
8313 9102 262961 239.987945488 41.4777751316 0.0332509 0.743036 37.9742 26236400000.0 -20.7884 1335 52824 388 997503 2.0 20.38 0.3511560529047287 9.930000305175781 419.8720827507504 522.9723450632122 8313-9102 1.6699999570846558 nan
8313 6102 262886 240.912436689 41.1530561798 0.0341391 0.469719 64.7734 35166300000.0 -20.9444 1335 52824 200 1189810 1.0 0.0 2.1743957104326106 9.039999961853027 -1131.6061540219266 142.72510050727004 8313-6102 0.20999999344348907 nan
8313 3703 263037 241.846680273 41.7089702164 0.0180762 0.981559 70.8615 3949390000.0 -18.8348 1335 52824 542 1194180 1.0 2.0 1.2111695861816407 9.789999961853027 4069.9011312243015 4744.730496170233 8313-3703 4.269999980926514 nan
8313 6104 222320 242.695859781 41.9836706754 0.0385502 0.421984 117.715 1199180000.0 -18.8481 1170 52756 186 1004996 2.0 134.28 0.7558934138371394 9.729999542236328 185.30707319314877 306.6390854029485 8313-6104 0.7900000214576721 nan
8985 3701 630503 204.623765693 30.9868027697 0.0159644 0.937001 168.074 1433190000.0 -18.2363 2094 53851 323 1950004 2.0 13.98 0.08855449573413746 8.970000267028809 211.83609857404107 406.4962972637004 8985-3701 0.7900000214576721 nan
8985 12701 445507 203.730622609 31.3935143722 0.0165598 0.845443 98.9767 2758340000.0 -19.4624 2110 53467 626 1940041 2.0 77.97 0.6877599741943186 10.229999542236328 391.3376462538555 235.92604510997987 8985-12701 13.210000038146973 nan
